German,English
ich,I
sie,they
das,the
ist,is
du,you
nicht,Not
die,the
es,it
und,and
der,of the
wir,we
was,What
zu,to
er,he
ein,on
in,in
ja,Yes
mir,me
mit,With
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,a
so,so
hat,Has
hier,here
haben,to have
für,For
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,No
habe,have
an,at
bin,am
noch,yet
nur,just
da,there
dir,to you
sich,yourself
einen,one
uns,us
hast,have
dem,the
kann,can
gut,Good
auch,also
schon,beautiful
als,when
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,out
meine,my
um,around
im,in the
wird,becomes
mein,my
bist,are
doch,but
alles,everything
weiß,White
keine,none
oder,or
nach,to
s,s
nichts,Nothing
man,you
muss,got to
werden,become
will,want
ihnen,them
geht,going
wo,Where
etwas,something
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,hab
warum,Why
vor,in front
los,Come on
können,can
wieder,again
sagen,say
machen,do
danke,Thank you
sehr,very
alle,all
denn,because
mann,man
tun,to do
ihm,him
zum,to the
gehen,walk
sehen,see
vielleicht,maybe
einem,one
wer,who
ihre,your
diese,these
euch,to you
einer,one
komm,come over
über,over
gibt,gives
okay,OK
wissen,knowledge
deine,yours
müssen,have to
soll,should
werde,will
nie,never
wirklich,really
hey,hey
kein,no
viel,a lot of
weg,path
würde,would
tut,does
am,at the
des,of
einfach,easy
leben,Life
hatte,would have
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,coming
wollen,want
damit,in order to
ganz,all
wäre,would
wollte,wanted
weißt,know
ok,OK
sicher,for sure
gesagt,told
frau,Mrs
nun,now
bis,to
wurde,has been
leid,suffering
na,n / A
kannst,can
macht,makes
dieser,this
zurück,back
lassen,to let
hallo,Hi
meinen,say
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,I agree
waren,were
zur,to
lass,let
klar,clear
morgen,morning
leute,People
vater,father
schön,beautiful
glaube,faith
mr.,mr.
ab,from
gerade,straight
tag,Day
gesehen,seen
reden,talk
wohl,well
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,by
ob,if
keinen,no
mutter,mother
raus,Out
gemacht,made
paar,pair
mach,mach
passiert,happens
dachte,thought
besser,better
musst,must
wieso,how so
sir,sir
dieses,this
selbst,self
gehört,belongs
möchte,would like to
ohne,without
hör,hear
her,here
sag,say
meiner,mine
anderen,other
helfen,help
nacht,night
finden,Find
diesen,this
gute,quality
wirst,will
lange,Long
natürlich,Naturally
ach,Oh
meinem,my
gar,at all
ins,in the
sei,be
dort,There
weiter,continue
geben,give
seit,since
gleich,equal
sagt,says
recht,Law
ihren,their
richtig,right
ordnung,order
vom,from
hören,Listen
sieht,looks
davon,from that
dafür,for this
geh,go
diesem,this
wegen,because of
hause,home
sollten,should
mädchen,girl
hin,down
sollen,should
abend,Eve
haus,House
denke,think
viele,lots
drei,three
deinen,your
freund,friend
guten,good
unser,our
warte,wait
machst,doing
menschen,People
essen,eat
angst,fear
bleiben,stay
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
getan,done
darf,may
erst,first
rein,purely
stimmt,Right
nehmen,to take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,crap
brauchen,need
gegen,versus
moment,moment
junge,Boy
steht,stands
sonst,otherwise
musik,music
arbeit,job
seid,are
ihrer,of their
fragen,ask
herr,Mr
dabei,there
heißt,called
familie,family
warten,waiting
niemand,nobody
sofort,immediately
bevor,before
jahre,years
einmal,once
problem,problem
sohn,son
wann,when
brauche,need
fertig,finished
halt,stop
allein,alone
beim,at the
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,Thing
hilfe,Help
verdammt,damned
ne,ne
jeder,everyone
warst,were
gern,gladly
konnte,could
darüber,about that
halten,hold
siehst,see
verstehe,understand
jahren,years
kam,came
kind,child
wusste,knew
wahr,true
seinen,his
dazu,to
bruder,brothers
daran,it
ihrem,their
denken,think
könnten,could
dank,thanks
würden,would
lieber,Dear
fall,case
deiner,yours
sehe,see
egal,no matter
kennen,know
deinem,your
vergessen,to forget
frage,question
mache,make
komme,get
sage,legend
mag,like
sieh,look
echt,real
gib,give
eigentlich,actually
jeden,each
dad,dad
gab,gave
uhr,Clock
stadt,city
männer,Men
baby,infant
fahren,drive
namen,names
bekommen,to get
kopf,head
hi,Hi
gehe,go
kleine,small
später,later
glück,happiness
letzte,latest
freunde,friends
n,n
all,Alles
darauf,thereon
ende,The End
dr.,dr.
bald,soon
töten,kill
dinge,things
meinst,mean
toll,Great
eins,one
minuten,minutes
vielen,a lot of
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,little
tür,door
auto,automobile
jungs,guys
eure,your
augen,eyes
polizei,police
stehen,stand
sterben,to die
hätten,had
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,past
treffen,to meet
gerne,with pleasure
dran,tuned
wurden,were
arbeiten,work
mom,mom
verrückt,crazy
neue,new
ging,went
hinter,Behind
sorgen,to care
einzige,only one
jemanden,someone
darum,therefore
tochter,daughter
braucht,need
idee,idea
schwester,sister
drin,in it
ruhig,calm
sah,saw
ganzen,all
spät,late
ziemlich,quite
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,search
finde,find
je,ever
woher,where from
lang,long
job,job
keiner,none
seinem,his
hört,hears
verstehen,understand
spielen,play
s.,s.
überhaupt,at all
teufel,devil
verstanden,Roger that
verloren,lost
große,size
hand,hand
grund,reason
jahr,year
kommst,coming
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,think
oben,above
gestern,yesterday
versuchen,to attempt
art,kind
letzten,last
schatz,treasure
endlich,Finally
he,hey
nimm,take
etwa,approximately
erzählt,tells
läuft,running
schwer,heavy
anders,different
miss,ill
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,history
wenig,little
holen,to fetch
bedeutet,means
nett,kind